Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-supplyrequests,2,0,0
Cross.list-byid-supplyrequests-json,2,1,0
Cross.list-byid-supplyrequests-xml,2,2,0
Cross.list-byid-tasks,2,0,0
Cross.list-byid-tasks-json,2,2,0
Cross.list-byid-tasks-xml,2,2,0
Cross.list-byid-terminologycapabilities,2,0,0
Cross.list-byid-terminologycapabilities-json,2,0,0
Cross.list-byid-terminologycapabilities-xml,2,2,0
Cross.list-byid-testplans,2,0,0
Cross.list-byid-testplans-json,2,1,0
Cross.list-byid-testplans-xml,2,2,0
Cross.list-byid-testreports,2,0,0
Cross.list-byid-testreports-json,2,1,0
Cross.list-byid-testreports-xml,2,2,0
Cross.list-byid-testscripts,2,0,0
Cross.list-byid-testscripts-json,2,0,0
Cross.list-byid-testscripts-xml,2,0,0
Cross.list-byid-valuesets,2,4,20862
Cross.list-byid-valuesets-json,2,5,21392
Cross.list-byid-valuesets-xml,2,7,21286
Cross.list-byid-verificationresults,2,0,0
Cross.list-byid-verificationresults-json,2,1,0
Cross.list-byid-verificationresults-xml,2,2,0
Cross.list-byid-visionprescriptions,2,0,0
Cross.list-byid-visionprescriptions-json,2,0,0
Cross.list-byid-visionprescriptions-xml,2,2,0
Cross.list-capabilitystatements,2,0,0
Cross.list-capabilitystatements-json,2,1,0
Cross.list-capabilitystatements-xml,2,2,0
Cross.list-careplans,2,0,0
Cross.list-careplans-json,2,0,0
Cross.list-careplans-xml,2,2,0
Cross.list-careteams,2,0,0
Cross.list-careteams-json,2,0,0
Cross.list-careteams-xml,2,1,0
Cross.list-catalogentries,2,0,0
Cross.list-catalogentries-json,2,2,0
Cross.list-catalogentries-xml,2,2,0
Cross.list-chargeitemdefinitions,2,0,0
Cross.list-chargeitemdefinitions-json,2,1,0
Cross.list-chargeitemdefinitions-xml,2,1,0
Cross.list-chargeitems,2,0,0
Cross.list-chargeitems-json,2,1,0
Cross.list-chargeitems-xml,2,2,0
Cross.list-claimresponses,2,1,0
Cross.list-claimresponses-json,2,2,0
Cross.list-claimresponses-xml,2,2,0
Cross.list-claims,2,0,0
Cross.list-claims-json,2,0,0
Cross.list-claims-xml,2,1,0
Cross.list-clinicalimpressions,2,0,0
Cross.list-clinicalimpressions-json,2,1,0
Cross.list-clinicalimpressions-xml,2,1,0
Cross.list-codesystems,2,3,9232
Cross.list-codesystems-json,2,5,9492
Cross.list-codesystems-xml,2,6,9440
Cross.list-communicationrequests,2,0,0
Cross.list-communicationrequests-json,2,0,0
Cross.list-communicationrequests-xml,2,1,0
Cross.list-communications,2,0,0
Cross.list-communications-json,2,0,0
Cross.list-communications-xml,2,2,0
Cross.list-compartmentdefinitions,2,0,0
Cross.list-compartmentdefinitions-json,2,0,0
Cross.list-compartmentdefinitions-xml,2,1,0
Cross.list-compositions,2,0,0
Cross.list-compositions-json,2,1,0
Cross.list-compositions-xml,2,2,0
Cross.list-conceptmaps,2,0,0
Cross.list-conceptmaps-json,2,1,0
Cross.list-conceptmaps-xml,2,2,0
Cross.list-conditions,2,0,0
Cross.list-conditions-json,2,1,0
Cross.list-conditions-xml,2,2,0
Cross.list-consents,2,0,0
Cross.list-consents-json,2,0,0
Cross.list-consents-xml,2,1,0
Cross.list-contracts,2,0,0
Cross.list-contracts-json,2,0,0
Cross.list-contracts-xml,2,2,0
Cross.list-coverageeligibilityrequests,2,1,0
Cross.list-coverageeligibilityrequests-json,2,1,0
Cross.list-coverageeligibilityrequests-xml,2,1,0
Cross.list-coverageeligibilityresponses,2,0,0
Cross.list-coverageeligibilityresponses-json,2,0,0
Cross.list-coverageeligibilityresponses-xml,2,2,0
Cross.list-coverages,2,0,0
Cross.list-coverages-json,2,1,0
Cross.list-coverages-xml,2,2,0
Cross.list-detectedissues,2,0,0
Cross.list-detectedissues-json,2,0,0
Cross.list-detectedissues-xml,2,1,0
Cross.list-devicedefinitions,2,0,0
Cross.list-devicedefinitions-json,2,2,0
Cross.list-devicedefinitions-xml,2,2,0
Cross.list-devicemetrics,2,0,0
Cross.list-devicemetrics-json,2,0,0
Cross.list-devicemetrics-xml,2,2,0
Cross.list-devicerequests,2,0,0
Cross.list-devicerequests-json,2,0,0
Cross.list-devicerequests-xml,2,2,0
Cross.list-devices,2,0,0
Cross.list-devices-json,2,0,0
Cross.list-devices-xml,2,1,0
Cross.list-deviceusestatements,2,0,0
Cross.list-deviceusestatements-json,2,0,0
Cross.list-deviceusestatements-xml,2,2,0
Cross.list-diagnosticreports,2,2,0
Cross.list-diagnosticreports-json,2,2,0
Cross.list-diagnosticreports-xml,2,2,0
Cross.list-documentmanifests,2,0,0
Cross.list-documentmanifests-json,2,1,0
Cross.list-documentmanifests-xml,2,2,0
Cross.list-documentreferences,2,0,0
Cross.list-documentreferences-json,2,1,0
Cross.list-documentreferences-xml,2,2,0
Cross.list-domainresources,2,0,0
Cross.list-domainresources-json,2,2,0
Cross.list-domainresources-xml,2,3,0
Cross.list-effectevidencesyntheses,2,0,0
Cross.list-effectevidencesyntheses-json,2,0,0
Cross.list-effectevidencesyntheses-xml,2,1,0
Cross.list-encounters,2,0,402
Cross.list-encounters-json,2,2,412
Cross.list-encounters-xml,2,2,410
Cross.list-endpoints,2,0,0
Cross.list-endpoints-json,2,1,0
Cross.list-endpoints-xml,2,2,0
Cross.list-enrollmentrequests,2,0,0
Cross.list-enrollmentrequests-json,2,1,0
